,source,text,message,sex,decent,moral,person
0,https://vk.com/wall409928036_9302,,Ты долбаеб,male,obscene,moral,person
1,https://vk.com/wall409928036_9302,,Ты пидр,male,obscene,immoral,person
2,https://vk.com/wall409928036_9302,,ВЫ ЕБЛАН СУКА ВАМ ПИЗДАААА,?,obscene,immoral,person
3,https://vk.com/wall409928036_9302,,Кто нажмет на 3 ответ у тово пися отсохнет,male,decent,moral,imperson
4,https://vk.com/wall409928036_9302,,Это буду мои смилики я их заприватил,male,decent,moral,imperson
5,https://vk.com/wall409928036_9302,,Даун,male,decent,moral,imperson
6,https://vk.com/wall409928036_9302,,еблан блять ты конченный фу таким быть обоссышь,male,obscene,moral,person
7,https://vk.com/wall409928036_9302,,Тебя бан,male,decent,moral,person
8,https://vk.com/wall409928036_9302,,пидорас? пошел нахой!!!,female,obscene,immoral,imperson
9,https://vk.com/wall409928036_9302,,КТО ТЫ КТОООО КТОООО ОН КТОООО СУКА КТООООООООООООООООООООООО ТЫ КТО,female,decent,immoral,person
10,https://vk.com/wall409928036_9302,,Пидор (осуждаю),male,obscene,immoral,imperson
11,https://vk.com/wall409928036_9302,,ты блять мразота ёбаная нахуй хуйня блять трухлявая ебливая сука блядь тебе надо с ноги блять обосраной въебать блять тебе даже фсб написали что ты пидр какой же ты окунь блять ☺️,male,obscene,immoral,person
12,https://vk.com/wall409928036_9302,,"[id577365333|Даня], бля,по факту",male,obscene,moral,imperson
13,https://vk.com/wall409928036_9302,,"[club190464130|ФСБ], ок довайте досвидос шашлыкос",male,decent,moral,imperson
14,https://vk.com/wall409928036_9302,,сукин разбань смайлики...,male,decent,immoral,imperson
15,https://vk.com/wall409928036_9302,,"[id360495797|Сайед], нет я их заприватил",male,decent,moral,imperson
16,https://vk.com/wall409928036_9302,,добавь в приват,male,decent,moral,imperson
17,https://vk.com/wall409928036_9302,,рял работает,male,decent,moral,imperson
18,https://vk.com/wall409928036_9302,,"[id584810292|Миша], ты еблан как ты это сделал",male,obscene,moral,person
19,https://vk.com/wall409928036_9302,,"[id409928036|Моксимовве], потому что иди на 3 весёлых буквы, хотя ты и так там сидишь 24/7",male,decent,moral,person
20,https://vk.com/wall409928036_9302,,"[id409928036|Моксимовве], ну ты хз хз 🤑👊",female,decent,moral,person
21,https://vk.com/wall409928036_9302,,"[id325806723|Шамиль], мы же не на твиче",male,decent,moral,imperson
22,https://vk.com/wall409928036_9302,,"[id325806723|Шамиль], тогда не осуждаю",male,decent,moral,imperson
23,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",Офай,male,decent,moral,imperson
24,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",офни рыгало,male,decent,moral,imperson
25,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль","Красава Стас щас 228к апнешь, близкон выиграешь, мафию вычислишь, столб отпиздишь.",male,obscene,moral,person
26,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",YEP BOATs,male,decent,moral,imperson
27,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",офай,male,decent,moral,imperson
28,https://vk.com/wall-76628628_854095,"Всем привет! Прокнула замазка на платформеры. Поэтому решил упороться в Красного Челика и Boshi.  Устроить турнир не получится, поэтому предлагаю пройти эту не сложную игру #БошиБезАбузов и посоревноваться как минимум с Филом ""кто меньше раз умрет за время прохождения"" на нормаль",Офай рыганина,male,decent,moral,imperson
